away_pitcher,away_team,condition,date,final_score_away,final_score_home,first_inning_run_scored,first_inning_runs_away,first_inning_runs_home,game_id,home_pitcher,home_team,temperature,venue,wind
Tony Gonsolin,Los Angeles Dodgers,Partly Cloudy,2023-07-02,1,9,0,0,0,717527,Brady Singer,Kansas City Royals,82,Kauffman Stadium,"9 mph, L To R"
Gerrit Cole,New York Yankees,Cloudy,2023-07-02,1,5,0,0,0,717524,Jordan Montgomery,St. Louis Cardinals,83,Busch Stadium,"11 mph, Out To RF"
Shawn Dubin,Houston Astros,Roof Closed,2023-07-02,5,3,1,0,1,717520,Andrew Heaney,Texas Rangers,74,Globe Life Field,"0 mph, None"
Matt Manning,Detroit Tigers,Partly Cloudy,2023-07-02,14,9,1,4,0,717523,Connor Seabold,Colorado Rockies,86,Coors Field,"3 mph, R To L"
Zac Gallen,Arizona Diamondbacks,Sunny,2023-07-02,2,5,1,0,1,717522,Reid Detmers,Los Angeles Angels,80,Angel Stadium,"6 mph, Out To RF"
Touki Toussaint,Chicago White Sox,Partly Cloudy,2023-07-02,8,7,0,0,0,717518,Paul Blackburn,Oakland Athletics,79,Oakland Coliseum,"14 mph, Out To RF"
Taj Bradley,Tampa Bay Rays,Sunny,2023-07-02,6,7,1,1,0,717519,Luis Castillo,Seattle Mariners,71,T-Mobile Park,"4 mph, In From LF"
Aaron Civale,Cleveland Guardians,Rain,2023-07-02,8,6,0,0,0,717521,Jameson Taillon,Chicago Cubs,65,Wrigley Field,"13 mph, In From LF"
Ross Stripling,San Francisco Giants,Cloudy,2023-07-02,4,8,0,0,0,717525,David Peterson,New York Mets,75,Citi Field,"3 mph, Out To LF"
Cristian Javier,Houston Astros,Roof Closed,2023-07-03,12,11,0,0,0,717514,Martín Pérez,Texas Rangers,74,Globe Life Field,"0 mph, None"
Drew Smyly,Chicago Cubs,Sunny,2023-07-03,6,8,0,0,0,717511,Julio Teheran,Milwaukee Brewers,83,American Family Field,"8 mph, L To R"
Luke Weaver,Cincinnati Reds,Cloudy,2023-07-03,3,2,0,0,0,717517,Jake Irvin,Washington Nationals,86,Nationals Park,"5 mph, Out To CF"
Miles Mikolas,St. Louis Cardinals,Roof Closed,2023-07-03,4,5,1,0,2,717515,Braxton Garrett,Miami Marlins,72,loanDepot park,"0 mph, None"
Tyler Wells,Baltimore Orioles,Partly Cloudy,2023-07-03,3,6,0,0,0,717513,Domingo Germán,New York Yankees,84,Yankee Stadium,"7 mph, Out To LF"
Bryce Elder,Atlanta Braves,Clear,2023-07-03,4,2,0,0,0,717512,Gavin Williams,Cleveland Guardians,78,Progressive Field,"2 mph, In From CF"
Austin Cox,Kansas City Royals,Partly Cloudy,2023-07-03,4,8,1,1,1,717510,Joe Ryan,Minnesota Twins,92,Target Field,"10 mph, Out To RF"
Jaime Barria,Los Angeles Angels,Clear,2023-07-03,3,10,1,0,3,717505,Blake Snell,San Diego Padres,68,Petco Park,"10 mph, L To R"
Bryan Woo,Seattle Mariners,Clear,2023-07-03,6,5,0,0,0,717516,Logan Webb,San Francisco Giants,60,Oracle Park,"16 mph, Varies"
Mitch Keller,Pittsburgh Pirates,Clear,2023-07-03,2,5,0,0,0,717506,Michael Grove,Los Angeles Dodgers,70,Dodger Stadium,"6 mph, L To R"
Brett Kennedy,Cincinnati Reds,Partly Cloudy,2023-07-04,8,4,1,2,0,717507,Patrick Corbin,Washington Nationals,83,Nationals Park,"3 mph, L To R"
Kyle Gibson,Baltimore Orioles,Partly Cloudy,2023-07-04,4,8,1,0,2,717508,Clarke Schmidt,New York Yankees,75,Yankee Stadium,"4 mph, R To L"
Adam Wainwright,St. Louis Cardinals,Roof Closed,2023-07-04,2,15,1,0,3,717502,Jesús Luzardo,Miami Marlins,72,loanDepot park,"0 mph, None"
Dane Dunning,Texas Rangers,Overcast,2023-07-04,6,2,1,0,1,717501,Brennan Bernardino,Boston Red Sox,73,Fenway Park,"2 mph, In From CF"
Zack Greinke,Kansas City Royals,Overcast,2023-07-04,3,9,1,0,1,717500,Kenta Maeda,Minnesota Twins,79,Target Field,"9 mph, Out To CF"
Kyle Freeland,Colorado Rockies,Roof Closed,2023-07-04,1,4,0,0,0,717504,Brandon Bielak,Houston Astros,73,Minute Maid Park,"0 mph, None"
Max Scherzer,New York Mets,Roof Closed,2023-07-04,8,5,1,0,1,717498,Zach Davies,Arizona Diamondbacks,78,Chase Field,"0 mph, None"
Aaron Nola,Philadelphia Phillies,Dome,2023-07-04,3,1,0,0,0,717499,Zach Eflin,Tampa Bay Rays,72,Tropicana Field,"0 mph, None"
Kyle Hendricks,Chicago Cubs,Partly Cloudy,2023-07-04,7,6,0,0,0,717503,Wade Miley,Milwaukee Brewers,86,American Family Field,"7 mph, L To R"
Logan Gilbert,Seattle Mariners,Sunny,2023-07-04,6,0,1,1,0,717509,Keaton Winn,San Francisco Giants,69,Oracle Park,"11 mph, Out To CF"
JP Sears,Oakland Athletics,Clear,2023-07-04,1,0,0,0,0,717494,Tarik Skubal,Detroit Tigers,86,Comerica Park,"10 mph, Out To RF"
Shohei Ohtani,Los Angeles Angels,Sunny,2023-07-04,5,8,0,0,0,717497,Joe Musgrove,San Diego Padres,71,Petco Park,"10 mph, L To R"
Kolby Allard,Atlanta Braves,Clear,2023-07-04,5,6,0,0,0,717495,Shane Bieber,Cleveland Guardians,82,Progressive Field,"6 mph, L To R"
Chris Bassitt,Toronto Blue Jays,Partly Cloudy,2023-07-04,4,3,0,0,0,717496,Lucas Giolito,Chicago White Sox,84,Guaranteed Rate Field,"3 mph, In From CF"
